OID,Id,ORIG_FID,vbdsf1,vbdsf2,vbdsf3,vbdsf4,vbdsf5,vbdsf6,vbdsf7,vbdsf8,vbdsf9,vbdsf10,vbdsf11,vbdsf12
8002,49979,11125,17.72661972,33.19662094,59.94995499,87.2966156,106.099968,102.5999527,94.70995331,87.82660675,70.41661835,45.26329041,23.02328491,14.02662182
8003,49980,11126,21.50662041,38.94661713,66.99662781,91.9332962,109.9399414,103.3932877,93.03994751,87.76660919,72.30329132,48.15662003,26.19661713,16.67995644
8004,49981,11127,21.50662041,38.94661713,66.99662781,91.9332962,109.9399414,103.3932877,93.03994751,87.76660919,72.30329132,48.15662003,26.19661713,16.67995644
8005,49982,11128,22.50662041,40.62328339,69.06995392,92.72327423,110.7599564,102.7499619,91.14661407,86.279953,72.5832901,49.1799469,27.27328491,17.37662125
8006,49983,11129,22.50662041,40.62328339,69.06995392,92.72327423,110.7599564,102.7499619,91.14661407,86.279953,72.5832901,49.1799469,27.27328491,17.37662125
8007,49984,11130,20.74328613,38.233284,66.14328766,89.66661835,108.5699692,100.66996,88.99661255,83.38994598,71.19327545,48.31328964,26.28995323,16.11661911
8008,49985,11131,20.74328613,38.233284,66.14328766,89.66661835,108.5699692,100.66996,88.99661255,83.38994598,71.19327545,48.31328964,26.28995323,16.11661911
8009,49986,11132,19.51328659,36.53995895,64.04662323,88.08327484,106.0532913,99.46994019,87.98662567,81.13994598,69.70327759,47.20661926,25.49328613,15.529953
8010,49987,11133,19.38328743,36.30995178,62.81328201,87.17327118,102.8166351,97.68994904,85.91329193,78.64328766,68.06329346,46.28328705,25.25328636,15.49995136
8011,49988,11134,19.38328743,36.30995178,62.81328201,87.17327118,102.8166351,97.68994904,85.91329193,78.64328766,68.06329346,46.28328705,25.25328636,15.49995136
8012,49989,11135,20.36328506,37.52995682,62.4732933,86.91996002,98.84328461,95.27329254,82.80662537,75.88661957,66.26328278,45.51661682,25.56661987,16.06328583
8013,49990,11136,20.36328506,37.52995682,62.4732933,86.91996002,98.84328461,95.27329254,82.80662537,75.88661957,66.26328278,45.51661682,25.56661987,16.06328583
8014,49991,11137,18.08661842,33.92995453,56.88995743,82.74661255,92.43327332,90.79662323,80.55329132,72.67328644,63.05661774,43.68661118,23.75662041,14.54328632
8015,49992,11138,18.08661842,33.92995453,56.88995743,82.74661255,92.43327332,90.79662323,80.55329132,72.67328644,63.05661774,43.68661118,23.75662041,14.54328632
8016,49993,11139,16.93995094,31.99661827,53.47661591,79.15995026,87.32661438,86.83995056,77.84329224,69.76994324,61.01329041,42.53995895,22.8499527,13.84995461
8017,49994,11140,16.93995094,31.99661827,53.47661591,79.15995026,87.32661438,86.83995056,77.84329224,69.76994324,61.01329041,42.53995895,22.8499527,13.84995461
8018,49995,11141,16.99328804,31.74995232,52.24328232,76.19328308,83.57661438,83.39661407,74.66661835,67.21328735,60.1766243,42.08328629,22.9366169,14.07661819
8019,49996,11142,16.99328804,31.74995232,52.24328232,76.19328308,83.57661438,83.39661407,74.66661835,67.21328735,60.1766243,42.08328629,22.9366169,14.07661819
8020,49997,11143,19.20995331,34.38328171,54.86662292,78.10327911,88.48661804,91.11329651,81.17661285,71.07662201,62.52329254,43.18995667,24.01661873,15.24995327
8021,49998,11144,19.20995331,34.38328171,54.86662292,78.10327911,88.48661804,91.11329651,81.17661285,71.07662201,62.52329254,43.18995667,24.01661873,15.24995327
8022,49999,11145,18.91662216,33.87662125,53.73661423,75.3766098,87.1466217,90.42328644,80.1166153,69.83995056,61.37660599,41.64329147,22.96995354,14.54661846
8023,50000,11146,18.91662216,33.87662125,53.73661423,75.3766098,87.1466217,90.42328644,80.1166153,69.83995056,61.37660599,41.64329147,22.96995354,14.54661846
8024,50001,11147,16.08995438,30.22994804,48.85662842,67.95995331,79.55661774,81.33995056,71.49328613,63.50994873,56.70661926,37.44662094,19.80328751,11.96328735
8025,50002,11148,15.55995274,29.75662422,47.94328308,66.01328278,77.78661346,81.49661255,72.95662689,65.55995178,57.13328552,37.4666214,19.64662361,11.84995461
8026,50004,11149,14.92328453,28.7166214,46.279953,63.23329544,75.32327271,80.18662262,72.79995728,65.68328094,56.35661697,36.31994629,19.15662003,11.6699543
8027,50013,11150,13.28328514,24.39328575,39.7732811,53.94662094,67.20995331,74.47661591,68.95661926,59.65662384,50.87661362,31.71329117,17.15328789,11.18328667
